symbols table: {} | files table: {} | execution stack(base-top): [(a=(int);(b=(int);(a=2+3*5;(b=a+1;print(b)))))] | output list: symbols table: {} | files table: {} | execution stack(base-top): [(b=(int);(a=2+3*5;(b=a+1;print(b)))), a=(int)] | output list: symbols table: {a=0} | files table: {} | execution stack(base-top): [(b=(int);(a=2+3*5;(b=a+1;print(b))))] | output list: symbols table: {a=0} | files table: {} | execution stack(base-top): [(a=2+3*5;(b=a+1;print(b))), b=(int)] | output list: symbols table: {a=0, b=0} | files table: {} | execution stack(base-top): [(a=2+3*5;(b=a+1;print(b)))] | output list: symbols table: {a=0, b=0} | files table: {} | execution stack(base-top): [(b=a+1;print(b)), a=2+3*5] | output list: symbols table: {a=17, b=0} | files table: {} | execution stack(base-top): [(b=a+1;print(b))] | output list: symbols table: {a=17, b=0} | files table: {} | execution stack(base-top): [print(b), b=a+1] | output list: symbols table: {a=17, b=18} | files table: {} | execution stack(base-top): [print(b)] | output list: symbols table: {a=17, b=18} | files table: {} | execution stack(base-top): [] | output list:  18symbols table: {} | files table: {} | execution stack(base-top): [(a=(int);(b=(int);(a=2+3*5;(b=a+1;print(b)))))] | output list: symbols table: {} | files table: {} | execution stack(base-top): [(b=(int);(a=2+3*5;(b=a+1;print(b)))), a=(int)] | output list: symbols table: {a=0} | files table: {} | execution stack(base-top): [(b=(int);(a=2+3*5;(b=a+1;print(b))))] | output list: symbols table: {a=0} | files table: {} | execution stack(base-top): [(a=2+3*5;(b=a+1;print(b))), b=(int)] | output list: symbols table: {a=0, b=0} | files table: {} | execution stack(base-top): [(a=2+3*5;(b=a+1;print(b)))] | output list: symbols table: {a=0, b=0} | files table: {} | execution stack(base-top): [(b=a+1;print(b)), a=2+3*5] | output list: symbols table: {a=17, b=0} | files table: {} | execution stack(base-top): [(b=a+1;print(b))] | output list: symbols table: {a=17, b=0} | files table: {} | execution stack(base-top): [print(b), b=a+1] | output list: symbols table: {a=17, b=18} | files table: {} | execution stack(base-top): [print(b)] | output list: symbols table: {a=17, b=18} | files table: {} | execution stack(base-top): [] | output list:  18symbols table: {} | files table: {} | execution stack(base-top): [(a=(int);(b=(int);(a=2+3*5;(b=a+1;print(b)))))] | output list: 
symbols table: {} | files table: {} | execution stack(base-top): [(b=(int);(a=2+3*5;(b=a+1;print(b)))), a=(int)] | output list: 
symbols table: {a=0} | files table: {} | execution stack(base-top): [(b=(int);(a=2+3*5;(b=a+1;print(b))))] | output list: 
symbols table: {a=0} | files table: {} | execution stack(base-top): [(a=2+3*5;(b=a+1;print(b))), b=(int)] | output list: 
symbols table: {a=0, b=0} | files table: {} | execution stack(base-top): [(a=2+3*5;(b=a+1;print(b)))] | output list: 
symbols table: {a=0, b=0} | files table: {} | execution stack(base-top): [(b=a+1;print(b)), a=2+3*5] | output list: 
symbols table: {a=17, b=0} | files table: {} | execution stack(base-top): [(b=a+1;print(b))] | output list: 
symbols table: {a=17, b=0} | files table: {} | execution stack(base-top): [print(b), b=a+1] | output list: 
symbols table: {a=17, b=18} | files table: {} | execution stack(base-top): [print(b)] | output list: 
symbols table: {a=17, b=18} | files table: {} | execution stack(base-top): [] | output list:  18
