symbols table: {} | files table: {} | execution stack(base-top): [(a=(bool);(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))))] | output list: symbols table: {} | files table: {} | execution stack(base-top): [(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))), a=(bool)] | output list: symbols table: {a=false} | files table: {} | execution stack(base-top): [(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v))))] | output list: symbols table: {a=false} | files table: {} | execution stack(base-top): [(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v))), v=(int)] | output list: symbols table: {a=false, v=0} | files table: {} | execution stack(base-top): [(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))] | output list: symbols table: {a=false, v=0} | files table: {} | execution stack(base-top): [((IF(a) THEN(v=2)ELSE(v=3));print(v)), a=true] | output list: symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [((IF(a) THEN(v=2)ELSE(v=3));print(v))] | output list: symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [print(v), (IF(a) THEN(v=2)ELSE(v=3))] | output list: symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [print(v), v=2] | output list: symbols table: {a=true, v=2} | files table: {} | execution stack(base-top): [print(v)] | output list: symbols table: {a=true, v=2} | files table: {} | execution stack(base-top): [] | output list:  2symbols table: {} | files table: {} | execution stack(base-top): [(a=(bool);(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))))] | output list: symbols table: {} | files table: {} | execution stack(base-top): [(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))), a=(bool)] | output list: symbols table: {a=false} | files table: {} | execution stack(base-top): [(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v))))] | output list: symbols table: {a=false} | files table: {} | execution stack(base-top): [(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v))), v=(int)] | output list: symbols table: {a=false, v=0} | files table: {} | execution stack(base-top): [(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))] | output list: symbols table: {a=false, v=0} | files table: {} | execution stack(base-top): [((IF(a) THEN(v=2)ELSE(v=3));print(v)), a=true] | output list: symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [((IF(a) THEN(v=2)ELSE(v=3));print(v))] | output list: symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [print(v), (IF(a) THEN(v=2)ELSE(v=3))] | output list: symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [print(v), v=2] | output list: symbols table: {a=true, v=2} | files table: {} | execution stack(base-top): [print(v)] | output list: symbols table: {a=true, v=2} | files table: {} | execution stack(base-top): [] | output list:  2symbols table: {} | files table: {} | execution stack(base-top): [(a=(bool);(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))))] | output list: 
symbols table: {} | files table: {} | execution stack(base-top): [(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))), a=(bool)] | output list: 
symbols table: {a=false} | files table: {} | execution stack(base-top): [(v=(int);(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v))))] | output list: 
symbols table: {a=false} | files table: {} | execution stack(base-top): [(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v))), v=(int)] | output list: 
symbols table: {a=false, v=0} | files table: {} | execution stack(base-top): [(a=true;((IF(a) THEN(v=2)ELSE(v=3));print(v)))] | output list: 
symbols table: {a=false, v=0} | files table: {} | execution stack(base-top): [((IF(a) THEN(v=2)ELSE(v=3));print(v)), a=true] | output list: 
symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [((IF(a) THEN(v=2)ELSE(v=3));print(v))] | output list: 
symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [print(v), (IF(a) THEN(v=2)ELSE(v=3))] | output list: 
symbols table: {a=true, v=0} | files table: {} | execution stack(base-top): [print(v), v=2] | output list: 
symbols table: {a=true, v=2} | files table: {} | execution stack(base-top): [print(v)] | output list: 
symbols table: {a=true, v=2} | files table: {} | execution stack(base-top): [] | output list:  2
